Timestamps,x,y,z,Target
184446,-0.09996441335415945,-0.2849319506801661,-1.0113841996771114,0
184546,-0.09349804488458868,-0.29553661108557694,-1.0247682407278405,0
184646,-0.09721691976894224,-0.3105950237184369,-1.0162335096737907,0
184746,-0.09904777087128691,-0.2927026248275782,-1.0611395528020178,0
184846,-0.09808516568063479,-0.29417250641393045,-1.06289726007628,0
184946,-0.09245370883569198,-0.29206596645522975,-1.0383203599968733,0
185046,-0.09715690253886654,-0.2856652566424848,-1.0249474305164872,0
185146,-0.09703620793398995,-0.29080229876736774,-0.9929473435507556,0
185246,-0.10078039588069279,-0.2919030660831552,-1.0338443355535685,0
185346,-0.0965255034143042,-0.3006712077232378,-1.0297222600360956,0
185446,-0.09220740455989658,-0.3040609390225293,-1.0252829463535205,0
185546,-0.10173718060097398,-0.29883436490388493,-1.0003207777074932,0
185646,-0.10299200549296383,-0.2762208425429272,-1.0089951877216974,0
185746,-0.09664583097411296,-0.30154013980553734,-0.9807074946781326,0
185846,-0.09846183227189952,-0.29366793508198186,-0.9457191342931386,0
185946,-0.10201015432589773,-0.27913987163761955,-1.0627636826162634,0
186046,-0.09414530453255988,-0.29458496312864385,-1.0355761793463822,0
186146,-0.09617486800595924,-0.2999962897226662,-0.9797703197356705,0
186246,-0.09481017418441591,-0.2964055939999619,-1.0206387085714588,0
186346,-0.09510294982339845,-0.2764188577114841,-0.9763525460601424,0
186446,-0.09964424446783296,-0.2916124672715625,-0.9584063549014483,0
186546,-0.09187266355975439,-0.3068303640763718,-1.0659457795380274,0
186646,-0.09776006014444978,-0.2860820717368228,-1.0115540988055611,0
186746,-0.0944516397983616,-0.29811221111247405,-1.042191033179317,0
186846,-0.09628249068730893,-0.28713149609100735,-0.9755486853762949,0
186946,-0.09834170202916093,-0.27652201959771855,-0.9950304628441357,0
187046,-0.0967018467261568,-0.3054776805746671,-1.0414903566426272,0
187146,-0.0928241757215842,-0.2990446968493667,-1.0070975258423207,0
187246,-0.09536573553939766,-0.30497063754247494,-0.9899049983507803,0
187346,-0.09760402948067075,-0.297419761983205,-0.9663110764430719,0
187446,-0.10268002508207606,-0.2880493075083712,-1.0311546594546455,0
187546,-0.09593680606435773,-0.288287723423091,-1.0296487105289345,0
187646,-0.0910474499108532,-0.298603645428618,-1.0269639587351014,0
187746,-0.09417666822328428,-0.297844958897877,-1.059481471871952,0
187846,-0.09432256790560704,-0.3071020251988117,-0.985118110640748,0
187946,-0.10018740432831207,-0.2779907333794144,-1.030083350344489,0
188046,-0.09312396440072461,-0.2893682515738877,-1.059390980496178,0
188146,-0.0915110372798733,-0.3088350506187189,-0.9142909473460508,0
188246,-0.0939863429663319,-0.2845249692624218,-0.998320178778093,0
188346,-0.0950298779984549,-0.28938542286978086,-1.0209247704600068,0
188446,-0.08538482804638242,-0.3053835106322133,-1.0389415324423519,0
188546,-0.09497704210203256,-0.2985965489459305,-0.9721695071717906,0
188646,-0.0954293344520355,-0.2921414206863191,-0.9785323835800376,0
188746,-0.10042045860806142,-0.27928203877310903,-1.0342171172114045,0
188846,-0.09871055245847614,-0.3064206585571553,-0.983728906563232,0
188946,-0.09792179767959819,-0.2913067227709929,-1.0379246273699114,0
189046,-0.09670344728093587,-0.2841208248632977,-1.0554829113859714,0
189146,-0.09829126324088805,-0.29204841550282956,-1.0238942826275614,0
189246,-0.09202290510934835,-0.28899593441198307,-1.0024521718803803,0
189346,-0.09784719087106021,-0.30189155422913544,-0.9981463797411251,0
189446,-0.09128947132659253,-0.2743526436335589,-0.993015303191818,0
189546,-0.09746510593300847,-0.2833035342277322,-0.9947671704112447,0
189646,-0.08588182801332629,-0.29699711936315437,-0.9851834025537259,0
189746,-0.09912881553017582,-0.29884054310413116,-1.0701001342803471,0
189846,-0.09696763408596074,-0.29482717302645955,-0.9645865873357895,0
189946,-0.10017457481487967,-0.28900065169513756,-0.9918651435392503,0
190046,-0.09655764485075027,-0.2914795663988144,-1.0841005554093441,0
190146,-0.0970735625467062,-0.3050490537883859,-0.9829349233668143,0
190246,-0.09212793424270946,-0.3070255254476859,-1.023325635638631,0
190346,-0.09574849120291644,-0.28950329339672354,-0.9875619802541205,0
190446,-0.09066293629261933,-0.28480828482501047,-0.9957397236158431,0
190546,-0.0896870155316002,-0.290439745991867,-1.0128906564147822,0
190646,-0.09944509980039125,-0.27809380456023536,-1.0145996530281292,0
190746,-0.08772992688290036,-0.28388661855853276,-0.9958521509965607,0
190846,-0.09180348925252341,-0.3165945736361594,-1.0176394634563883,0
190946,-0.09541229857556581,-0.2886790372095024,-0.9940390709756842,0
191046,-0.09461419703253839,-0.2704558960313873,-1.0248099158940158,0
191146,-0.09528180452266595,-0.2866231828864858,-1.0171878180739893,0
191246,-0.09636211431076808,-0.2772887573371632,-1.0241452609191968,0
191346,-0.09146175060342548,-0.27582346993674656,-1.0142288855882269,0
191446,-0.09112605153696962,-0.2855449087623207,-0.9950737212469282,0
191546,-0.10309373863649343,-0.29662817745232406,-0.9817356912080138,0
191646,-0.09466510882777357,-0.2873112521007075,-1.0494327874319989,0
191746,-0.08969571517957123,-0.28197713746122033,-1.027890252117753,0
191846,-0.09055879128487403,-0.28094672681075444,-1.0618540576152145,0
191946,-0.0938130464787102,-0.2808456781422936,-1.035968297679972,0
192046,-0.09406127143771044,-0.2768756399193693,-0.9692362934754631,0
192146,-0.09351133094619084,-0.28486506863062905,-1.0197926204818324,0
192246,-0.08473508612293568,-0.297788007003739,-1.0108919594863943,0
192346,-0.09468304365995266,-0.28491100670923314,-0.9748132090602067,0
192446,-0.0941641989977044,-0.2847033370824581,-1.0438897056243954,0
192546,-0.08854812999205018,-0.27602452054871707,-1.0196677898207211,0
192646,-0.09935338842835909,-0.29647394921733056,-1.0400652100208068,0
192746,-0.09594484376328583,-0.2970954176610047,-1.0404154669715215,0
192846,-0.0986491622796302,-0.29324508650740766,-1.0383527083116098,0
